date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-07-09,EXXETA AG,Consulting/Financial Services,Data Engineer Celonis,Data Engineer,Jooble (job board),drafted,none named,72 (Good Fit),No prior Celonis/ERP experience - acknowledged honestly in cover letter; confirmed open to nationwide travel,cv/main_exxeta.tex,cover_letters/cover_exxeta_data-engineer.tex,https://de.jooble.org/desc/-1766858850655367080
2026-07-09,IBM Client Innovation Center Germany GmbH,Tech/Consulting,Data Scientist,Data Scientist,Jooble (job board),drafted,none named,67 (Good Fit),No Transformers/GenAI production experience - acknowledged honestly; EU/German nationality requirement confirmed met,cv/main_ibm.tex,cover_letters/cover_ibm_data-scientist.tex,https://de.jooble.org/desc/4526535560492820880
2026-07-09,Deloitte,Consulting/Financial Services,Praktikant/Werkstudent Data Analytics - Financial Services Industry,Internship/Working Student,Deloitte careers portal,drafted,none named,73 (Good Fit),Cover letter/photo not required by Deloitte for this role but prepared anyway; role sits in Audit & Assurance (verified via primary source),cv/main_deloitte.tex,cover_letters/cover_deloitte_data-analytics-praktikum.tex,https://job.deloitte.com/job-praktikant-werkstudent-data-analytics-financial-services-industry-mwd-_48655
2026-07-09,KPMG AG Wirtschaftsprüfungsgesellschaft,Consulting/Audit,Praktikum Data Science / Data Analytics & BI,Internship,KPMG careers portal (JS-rendered - not fully fetchable),drafted,recruiting@kpmg.com (general line, not role-specific),66 (Good Fit),UNCONFIRMED whether posting is still open - direct verification blocked by JS rendering; recommend confirming live before applying,cv/main_kpmg.tex,cover_letters/cover_kpmg_data-science-praktikum.tex,https://jobs.kpmg.de/job/Frankfurt-Praktikum-Data-Science-Data-Analytics-&-BI-(wmd)-60549/927796101/
2026-07-09,Bonpago GmbH,Consulting (Digital Transformation),Werkstudent fuer angewandte KI & KI-Agenten,Working Student,Jooble (job board),drafted,none named,69 (Good Fit),Posting live-verified by reviewer; posting itself names Claude/Copilot as qualifying tool experience; framing corrected from "AI agent" to "AI assistant" to avoid overstating Claude Code usage,cv/main_bonpago.tex,cover_letters/cover_bonpago_ki-agenten.tex,https://de.jooble.org/desc/-4396204706809532566
2026-07-20,EY Deutschland,Consulting/Financial Services,Praktikant Data Science im Bereich pruefungsnahe Beratung / Quants (Financial Services),Internship,EY careers portal,drafted,none named,not scored (quick match only - full evaluation not run),cv/main_ey.tex,cover_letters/cover_ey_data-science-quants.tex,https://jobsgermany.ey.com/studentin/offer/praktikant-data-science-im-bereich-/5374f2d7-a073-4dfb-8a08-2b32deaeccca
2026-07-20,Deloitte,Consulting/Financial Services,Praktikant/Werkstudent Quantitative Analytics - Financial Services,Internship/Working Student,Deloitte careers portal,drafted,none named,not scored (quick match only - full evaluation not run),cv/main_deloitte_quant.tex,cover_letters/cover_deloitte_quantitative-analytics.tex,https://job.deloitte.com/job-praktikant-werkstudent-quantitative-analytics-financial-services-mwd-_49274
2026-07-20,Deloitte,Consulting/Financial Services,Praktikant/Werkstudent IT Audit & IT Assurance - Data Analytics,Internship/Working Student,Deloitte careers portal,drafted,none named,not scored (quick match only - full evaluation not run),cv/main_deloitte_itaudit.tex,cover_letters/cover_deloitte_it-audit-analytics.tex,https://job.deloitte.com/job-praktikant-werkstudent-it-audit-it-assurance-data-analytics-mwd-_49013
2026-07-20,Capgemini Invent,Consulting,Praktikant/Werkstudent in der Strategie- und Managementberatung,Internship/Working Student,Capgemini careers portal,drafted,none named,not scored (quick match only - full evaluation not run; general consulting role not core data science),cv/main_capgemini.tex,cover_letters/cover_capgemini_strategieberatung.tex,https://job-boards.eu.greenhouse.io/capgeminideutschlandgmbh/jobs/4103854101
2026-07-21,Fraunhofer SIT (ATHENE),Research/Cybersecurity,Studentische Hilfskraft im Bereich Data Engineering & Data Science,Student Assistant,User-provided link,drafted,none named,not scored (quick match only - strong fit, not formally evaluated),cv/main_fraunhofer_dataeng.tex,cover_letters/cover_fraunhofer_dataeng-athene.tex,https://jobs.fraunhofer.de/job/Darmstadt-Studentische-Hilfskraft-im-Bereich-Data-Engineering-&-Data-Science-64295/1416172833/
2026-07-21,valantic,Consulting,Werkstudent im Bereich Modellierung und strategische Analyse (CEO Office),Working Student,User-provided link,drafted,none named,not scored (quick match only - moderate fit, Excel/quant modeling not core data science),cv/main_valantic.tex,cover_letters/cover_valantic_modellierung.tex,https://www.valantic.com/en/careers/vacancies/werkstudent-im-bereich-modellierung-und-strategische-analyse-ceo-office-all-genders-1582/
2026-07-21,DekaBank,Banking/Financial Services,Trainee im Kapitalmarktgeschaeft mit Schwerpunkt Kuenstliche Intelligenz,Trainee,User-provided link,drafted,Lena Barzen (recruiting@deka.de),not scored (quick match only),cv/main_deka_trainee.tex,cover_letters/cover_deka_trainee-ki.tex,https://karriere.deka.de/job/Frankfurt-am-Main-Trainee-%28wmd%29-im-Kapitalmarktgesch%C3%A4ft-mit-Schwerpunkt-K%C3%BCnstliche-Intelligenz-HE-60315/1415764433/
2026-07-21,Fraunhofer SIT (ATHENE Geschaeftsstelle),Research/Cybersecurity,Studentische Hilfskraft zur Unterstuetzung der ATHENE Geschaeftsstelle,Student Assistant,User-provided link,drafted,none named,not scored (quick match only - weak fit; admin/Excel support role not technical),cv/main_fraunhofer_athene.tex,cover_letters/cover_fraunhofer_athene-geschaeftsstelle.tex,https://jobs.fraunhofer.de/job/Darmstadt-Studentische-Hilfskraft-zur-Unterst%C3%BCtzung-der-ATHENE-Gesch%C3%A4ftsstelle-64295/1416258633/
2026-07-21,Quoniam Asset Management,Banking/Financial Services,Werkstudent Portfolio Management Fixed Income,Working Student,User-provided link,drafted,none named,not scored (quick match only - moderate fit),cv/main_quoniam.tex,cover_letters/cover_quoniam_portfolio-fixedincome.tex,https://recruitingapp-5064.de.umantis.com/Vacancies/436/Application/New/31
2026-07-21,Hyundai Motor Europe,Automotive,Werkstudent Talent Acquisition & Projects,Working Student,User-provided link,drafted,none named,not scored (quick match only - weak fit; HR/recruiting role not data-focused),cv/main_hyundai.tex,cover_letters/cover_hyundai_talent-acquisition.tex,https://jobs.hyundai-europe.com/job/Offenbach-Werkstudent-%28mwd%29-Talent-Acquisition-&-Projects-befristet-f%C3%BCr-12-Monate-Hess-63067/
